date,total_cases,total_deaths,hosp_patients,weekly_hosp_admissions
2020-01-05,0.0,0.0,,
2020-01-06,0.0,0.0,,
2020-01-07,0.0,0.0,,
2020-01-08,0.0,0.0,,
2020-01-09,0.0,0.0,,
2020-01-10,0.0,0.0,,
2020-01-11,0.0,0.0,,
2020-01-12,0.0,0.0,,
2020-01-13,0.0,0.0,,
2020-01-14,0.0,0.0,,
2020-01-15,0.0,0.0,,
2020-01-16,0.0,0.0,,
2020-01-17,0.0,0.0,,
2020-01-18,0.0,0.0,,
2020-01-19,0.0,0.0,,
2020-01-20,0.0,0.0,,
2020-01-21,0.0,0.0,,
2020-01-22,0.0,0.0,,
2020-01-23,0.0,0.0,,
2020-01-24,0.0,0.0,,
2020-01-25,0.0,0.0,,
2020-01-26,0.0,0.0,,
2020-01-27,0.0,0.0,,
2020-01-28,0.0,0.0,,
2020-01-29,0.0,0.0,,
2020-01-30,0.0,0.0,,
2020-01-31,0.0,0.0,,
2020-02-01,0.0,0.0,,
2020-02-02,0.0,0.0,,
2020-02-03,0.0,0.0,,
2020-02-04,0.0,0.0,,
2020-02-05,0.0,0.0,,
2020-02-06,0.0,0.0,,
2020-02-07,0.0,0.0,,
2020-02-08,0.0,0.0,,
2020-02-09,0.0,0.0,,
2020-02-10,0.0,0.0,,
2020-02-11,0.0,0.0,,
2020-02-12,0.0,0.0,,
2020-02-13,0.0,0.0,,
2020-02-14,0.0,0.0,,
2020-02-15,0.0,0.0,,
2020-02-16,0.0,0.0,,
2020-02-17,0.0,0.0,,
2020-02-18,0.0,0.0,,
2020-02-19,0.0,0.0,,
2020-02-20,0.0,0.0,,
2020-02-21,0.0,0.0,,
2020-02-22,0.0,0.0,,
2020-02-23,0.0,0.0,,
2020-02-24,0.0,0.0,,
2020-02-25,0.0,0.0,,
2020-02-26,0.0,0.0,,
2020-02-27,0.0,0.0,,
2020-02-28,0.0,0.0,,
2020-02-29,0.0,0.0,,
2020-03-01,0.0,0.0,,
2020-03-02,0.0,0.0,,
2020-03-03,0.0,0.0,,
2020-03-04,0.0,0.0,,
2020-03-05,0.0,0.0,,
2020-03-06,0.0,0.0,,
2020-03-07,0.0,0.0,,
2020-03-08,6.0,0.0,,
2020-03-09,6.0,0.0,,
2020-03-10,6.0,0.0,,
2020-03-11,6.0,0.0,,
2020-03-12,6.0,0.0,,
2020-03-13,6.0,0.0,,
2020-03-14,6.0,0.0,,
2020-03-15,103.0,3.0,,
2020-03-16,103.0,3.0,,
2020-03-17,103.0,3.0,,
2020-03-18,103.0,3.0,,
2020-03-19,103.0,3.0,,
2020-03-20,103.0,3.0,,
2020-03-21,103.0,3.0,,
2020-03-22,534.0,5.0,,
2020-03-23,534.0,5.0,,
2020-03-24,534.0,5.0,,
2020-03-25,534.0,5.0,,
2020-03-26,534.0,5.0,,
2020-03-27,534.0,5.0,,
2020-03-28,534.0,5.0,,
2020-03-29,1638.0,18.0,,
2020-03-30,1638.0,18.0,,
2020-03-31,1638.0,18.0,,
2020-04-01,1638.0,18.0,,
2020-04-02,1638.0,18.0,,
2020-04-03,1638.0,18.0,,
2020-04-04,1638.0,18.0,,
2020-04-05,3627.0,79.0,,
2020-04-06,3627.0,79.0,,
2020-04-07,3627.0,79.0,,
2020-04-08,3627.0,79.0,2425.0,
2020-04-09,3627.0,79.0,,
2020-04-10,3627.0,79.0,,
2020-04-11,3627.0,79.0,,
2020-04-12,6355.0,208.0,,
2020-04-13,6355.0,208.0,2510.0,
2020-04-14,6355.0,208.0,,
2020-04-15,6355.0,208.0,2499.0,
2020-04-16,6355.0,208.0,2607.0,
2020-04-17,6355.0,208.0,2673.0,
2020-04-18,6355.0,208.0,,
2020-04-19,8742.0,345.0,2482.0,
2020-04-20,8742.0,345.0,2511.0,
2020-04-21,8742.0,345.0,2914.0,
2020-04-22,8742.0,345.0,3505.0,
2020-04-23,8742.0,345.0,3099.0,
2020-04-24,8742.0,345.0,3095.0,
2020-04-25,8742.0,345.0,2821.0,
2020-04-26,11273.0,521.0,2749.0,
2020-04-27,11273.0,521.0,2759.0,
2020-04-28,11273.0,521.0,2934.0,
2020-04-29,11273.0,521.0,2973.0,
2020-04-30,11273.0,521.0,3012.0,
2020-05-01,11273.0,521.0,2789.0,
2020-05-02,11273.0,521.0,2649.0,
2020-05-03,13375.0,661.0,2761.0,
2020-05-04,13375.0,661.0,2653.0,
2020-05-05,13375.0,661.0,2738.0,
2020-05-06,13375.0,661.0,2760.0,
2020-05-07,13375.0,661.0,2711.0,
2020-05-08,13375.0,661.0,2758.0,
2020-05-09,13375.0,661.0,2768.0,
2020-05-10,15651.0,783.0,2658.0,
2020-05-11,15651.0,783.0,2598.0,
2020-05-12,15651.0,783.0,2571.0,
2020-05-13,15651.0,783.0,2648.0,
2020-05-14,15651.0,783.0,2538.0,
2020-05-15,15651.0,783.0,2579.0,
2020-05-16,15651.0,783.0,2407.0,
2020-05-17,18257.0,914.0,2459.0,
2020-05-18,18257.0,914.0,2544.0,
2020-05-19,18257.0,914.0,2490.0,
2020-05-20,18257.0,914.0,2414.0,
2020-05-21,18257.0,914.0,2330.0,
2020-05-22,18257.0,914.0,2261.0,
2020-05-23,18257.0,914.0,2271.0,
2020-05-24,20931.0,992.0,2242.0,
2020-05-25,20931.0,992.0,2268.0,
2020-05-26,20931.0,992.0,2171.0,
2020-05-27,20931.0,992.0,2320.0,
2020-05-28,20931.0,992.0,2248.0,
2020-05-29,20931.0,992.0,2035.0,
2020-05-30,20931.0,992.0,2207.0,
2020-05-31,23571.0,1060.0,2134.0,
2020-06-01,23571.0,1060.0,2181.0,
2020-06-02,23571.0,1060.0,2219.0,
2020-06-03,23571.0,1060.0,2150.0,
2020-06-04,23571.0,1060.0,2102.0,
2020-06-05,23571.0,1060.0,2085.0,
2020-06-06,23571.0,1060.0,2128.0,
2020-06-07,25986.0,1150.0,2007.0,
2020-06-08,25986.0,1150.0,1881.0,
2020-06-09,25986.0,1150.0,2039.0,
2020-06-10,25986.0,1150.0,1993.0,
2020-06-11,25986.0,1150.0,,
2020-06-12,25986.0,1150.0,1629.0,
2020-06-13,25986.0,1150.0,1711.0,
2020-06-14,29017.0,1236.0,1748.0,
2020-06-15,29017.0,1236.0,1736.0,
2020-06-16,29017.0,1236.0,1806.0,
2020-06-17,29017.0,1236.0,1693.0,
2020-06-18,29017.0,1236.0,1849.0,
2020-06-19,29017.0,1236.0,1886.0,
2020-06-20,29017.0,1236.0,1931.0,
2020-06-21,31620.0,1345.0,1877.0,
2020-06-22,31620.0,1345.0,1899.0,
2020-06-23,31620.0,1345.0,1936.0,
2020-06-24,31620.0,1345.0,1965.0,
2020-06-25,31620.0,1345.0,1974.0,
2020-06-26,31620.0,1345.0,1933.0,
2020-06-27,31620.0,1345.0,1869.0,
2020-06-28,33714.0,1434.0,1845.0,
2020-06-29,33714.0,1434.0,1797.0,
2020-06-30,33714.0,1434.0,1811.0,
2020-07-01,33714.0,1434.0,1923.0,
2020-07-02,33714.0,1434.0,1787.0,
2020-07-03,33714.0,1434.0,1743.0,
2020-07-04,33714.0,1434.0,1731.0,
2020-07-05,35719.0,1511.0,1765.0,
2020-07-06,35719.0,1511.0,1790.0,
2020-07-07,35719.0,1511.0,1658.0,
2020-07-08,35719.0,1511.0,1683.0,
2020-07-09,35719.0,1511.0,1687.0,
2020-07-10,35719.0,1511.0,1597.0,
2020-07-11,35719.0,1511.0,1617.0,
2020-07-12,37521.0,1568.0,1610.0,
2020-07-13,37521.0,1568.0,1640.0,
2020-07-14,37521.0,1568.0,1581.0,
2020-07-15,37521.0,1568.0,1575.0,
2020-07-16,37521.0,1568.0,1550.0,
2020-07-17,37521.0,1568.0,1604.0,
2020-07-18,37521.0,1568.0,1551.0,
2020-07-19,39746.0,1617.0,1560.0,
2020-07-20,39746.0,1617.0,1575.0,
2020-07-21,39746.0,1617.0,1607.0,
2020-07-22,39746.0,1617.0,1644.0,
2020-07-23,39746.0,1617.0,1626.0,
2020-07-24,39746.0,1617.0,1617.0,
2020-07-25,39746.0,1617.0,1594.0,
2020-07-26,42622.0,1664.0,1601.0,
2020-07-27,42622.0,1664.0,1625.0,
2020-07-28,42622.0,1664.0,1655.0,
2020-07-29,42622.0,1664.0,1687.0,
2020-07-30,42622.0,1664.0,1694.0,
2020-07-31,42622.0,1664.0,1778.0,
2020-08-01,42622.0,1664.0,1841.0,
2020-08-02,46346.0,1721.0,1835.0,
2020-08-03,46346.0,1721.0,1841.0,
2020-08-04,46346.0,1721.0,1859.0,
2020-08-05,46346.0,1721.0,1898.0,
2020-08-06,46346.0,1721.0,1913.0,
2020-08-07,46346.0,1721.0,1928.0,
2020-08-08,46346.0,1721.0,1928.0,
2020-08-09,51167.0,1800.0,1930.0,
2020-08-10,51167.0,1800.0,1929.0,
2020-08-11,51167.0,1800.0,1985.0,
2020-08-12,51167.0,1800.0,2021.0,
2020-08-13,51167.0,1800.0,2059.0,
2020-08-14,51167.0,1800.0,2040.0,
2020-08-15,51167.0,1800.0,2028.0,
2020-08-16,56090.0,1869.0,2035.0,
2020-08-17,56090.0,1869.0,2040.0,
2020-08-18,56090.0,1869.0,2057.0,
2020-08-19,56090.0,1869.0,2097.0,
2020-08-20,56090.0,1869.0,2110.0,
2020-08-21,56090.0,1869.0,2151.0,
2020-08-22,56090.0,1869.0,2189.0,
2020-08-23,61181.0,1951.0,2195.0,
2020-08-24,61181.0,1951.0,2207.0,
2020-08-25,61181.0,1951.0,2167.0,
2020-08-26,61181.0,1951.0,2170.0,
2020-08-27,61181.0,1951.0,2185.0,
2020-08-28,61181.0,1951.0,2221.0,
2020-08-29,61181.0,1951.0,2237.0,
2020-08-30,66239.0,2032.0,2242.0,
2020-08-31,66239.0,2032.0,2249.0,
2020-09-01,66239.0,2032.0,2138.0,
2020-09-02,66239.0,2032.0,2168.0,
2020-09-03,66239.0,2032.0,2170.0,
2020-09-04,66239.0,2032.0,2179.0,
2020-09-05,66239.0,2032.0,2090.0,
2020-09-06,70387.0,2113.0,2091.0,
2020-09-07,70387.0,2113.0,2113.0,
2020-09-08,70387.0,2113.0,2042.0,
2020-09-09,70387.0,2113.0,2070.0,
2020-09-10,70387.0,2113.0,1924.0,
2020-09-11,70387.0,2113.0,1957.0,
2020-09-12,70387.0,2113.0,1946.0,
2020-09-13,73650.0,2181.0,1961.0,
2020-09-14,73650.0,2181.0,1972.0,
2020-09-15,73650.0,2181.0,1996.0,
2020-09-16,73650.0,2181.0,2007.0,
2020-09-17,73650.0,2181.0,1917.0,
2020-09-18,73650.0,2181.0,1925.0,
2020-09-19,73650.0,2181.0,1977.0,
2020-09-20,78330.0,2281.0,1985.0,
2020-09-21,78330.0,2281.0,1979.0,
2020-09-22,78330.0,2281.0,,
2020-09-23,78330.0,2281.0,1971.0,
2020-09-24,78330.0,2281.0,1964.0,
2020-09-25,78330.0,2281.0,1995.0,
2020-09-26,78330.0,2281.0,2134.0,
2020-09-27,85980.0,2423.0,2223.0,
2020-09-28,85980.0,2423.0,2305.0,
2020-09-29,85980.0,2423.0,2399.0,
2020-09-30,85980.0,2423.0,2481.0,
2020-10-01,85980.0,2423.0,2560.0,
2020-10-02,85980.0,2423.0,2702.0,
2020-10-03,85980.0,2423.0,2850.0,
