Region,Total_Cases,Cases per 100,Total_Deaths,Vaccination_Rate
Auvergne et Rhône-Alpes,4936842,71.32,18403,83.8
Bourgogne et Franche-Comté,1550459,53.98,7508,83.1
Bretagne,1799348,51.67,3728,85.9
Centre-Val de Loire,1323435,50.31,4669,83.7
Corse,204801,58.09,540,70.6
Grand Est,3194661,59.26,15174,82.0
Guadeloupe,209172,53.73,1160,40.8
Guyane,98352,34.06,416,34.1
Hauts-de-France,3446288,62.13,13985,82.3
Martinique,232251,63.65,1168,43.0
Mayotte,40536,,166,54.2
Normandie,1742636,51.28,5679,86.3
Nouvelle Aquitaine,3300204,53.17,8048,85.4
Occitanie,3559907,59.47,9418,81.3
Pays de la Loire,2066837,52.4,4732,85.4
Provence-Alpes-Côte d'Azur,3324009,88.21,14438,78.5
Réunion,528504,60.0,1009,66.8
Île-de-France,7095470,57.09,29350,83.4
